date,Country,App,device,downloads,active_users,total_sessions,total_minutes,usage_penetration,open_rate,mb_per_user,mb_per_session
2018-12-31,A,Y,ios,5568,64636,,,0.8612,8.1414,,
2018-12-31,A,X,ios,2310,30382,,,0.4048,6.6096,,
2018-12-31,B,Y,ios,1922,23242,,,0.8135,5.3592,,
2018-12-31,B,X,ios,1724,20544,,,0.7191,11.444,,
2018-12-31,B,Z,ios,3635,42344,,,1.4821,26.3088,,
2019-01-07,A,Y,ios,8534,64708,,,0.8621,8.0388,,
2019-01-07,A,X,ios,3650,32876,,,0.438,7.1838,,
2019-01-07,B,Y,ios,1628,23217,,,0.8126,5.4189,,
2019-01-07,B,X,ios,1765,25374,,,0.8881,13.9228,,
2019-01-07,B,Z,ios,3516,42371,,,1.4831,25.8522,,
2019-01-14,A,Y,ios,6714,63152,,,0.8414,7.8454,,
2019-01-14,A,X,ios,2073,29197,,,0.389,6.4423,,
2019-01-14,B,Y,ios,1666,22351,,,0.7823,5.227,,
2019-01-14,B,X,ios,2076,21020,,,0.7357,11.5887,,
2019-01-14,B,Z,ios,3750,40914,,,1.4321,24.9562,,
2019-01-21,A,Y,ios,5602,63647,,,0.848,7.9392,,
2019-01-21,A,X,ios,1995,25499,,,0.3397,5.6246,,
2019-01-21,B,Y,ios,1396,23262,,,0.8142,5.5008,,
2019-01-21,B,X,ios,1693,20930,,,0.7326,11.6802,,
2019-01-21,B,Z,ios,3369,42612,,,1.4915,26.2949,,
2019-01-28,A,Y,ios,7005,63340,,,0.8434,7.8074,,
2019-01-28,A,X,ios,2681,30379,,,0.4045,6.72,,
2019-01-28,B,Y,ios,1505,25639,,,0.8959,6.0471,,
2019-01-28,B,X,ios,1649,20626,,,0.7207,11.4022,,
2019-01-28,B,Z,ios,3906,40357,,,1.4102,24.5906,,
2019-02-04,A,Y,ios,8578,65698,,,0.8748,7.9905,,
2019-02-04,A,X,ios,2879,31088,,,0.414,6.8526,,
2019-02-04,B,Y,ios,1548,25010,,,0.8739,5.9027,,
2019-02-04,B,X,ios,1711,21294,,,0.7441,11.5152,,
2019-02-04,B,Z,ios,4370,46863,,,1.6375,27.6235,,
2019-02-11,A,Y,ios,5089,61271,,,0.8159,7.5183,,
2019-02-11,A,X,ios,1894,28074,,,0.3738,6.2416,,
2019-02-11,B,Y,ios,1776,20667,,,0.7222,4.8339,,
2019-02-11,B,X,ios,1513,15827,,,0.553,8.3972,,
2019-02-11,B,Z,ios,3984,47402,,,1.6564,27.4593,,
2019-02-18,A,Y,ios,4973,61549,,,0.8196,7.4928,,
2019-02-18,A,X,ios,2320,25839,,,0.3441,5.6958,,
2019-02-18,B,Y,ios,2526,24258,,,0.8476,5.6117,,
2019-02-18,B,X,ios,2421,23384,,,0.8171,12.2828,,
2019-02-18,B,Z,ios,6229,53689,,,1.876,30.4592,,
2019-02-25,A,Y,ios,5835,60173,,,0.801,7.3748,,
2019-02-25,A,X,ios,2214,29107,,,0.3874,6.4875,,
2019-02-25,B,Y,ios,1902,22393,,,0.7812,5.2369,,
2019-02-25,B,X,ios,1737,22868,,,0.7977,12.1609,,
2019-02-25,B,Z,ios,5033,49092,,,1.7126,27.8961,,
2019-03-04,A,Y,ios,6247,58445,,,0.778,7.2283,,
2019-03-04,A,X,ios,3546,28768,,,0.3829,6.2006,,
2019-03-04,B,Y,ios,1820,24203,,,0.8443,5.8605,,
2019-03-04,B,X,ios,1522,21654,,,0.7554,10.8506,,
2019-03-04,B,Z,ios,4312,49386,,,1.7228,27.1147,,
2019-03-11,A,Y,ios,7572,56529,,,0.7525,6.9081,,
2019-03-11,A,X,ios,3580,28750,,,0.3827,6.0885,,
2019-03-11,B,Y,ios,1732,21202,,,0.7396,5.1007,,
2019-03-11,B,X,ios,1470,24314,,,0.8482,11.8305,,
2019-03-11,B,Z,ios,4375,60605,,,2.1142,32.2711,,
2019-03-18,A,Y,ios,5677,60148,,,0.8006,7.3192,,
2019-03-18,A,X,ios,2569,29341,,,0.3906,6.2298,,
2019-03-18,B,Y,ios,2219,22573,,,0.7875,5.4945,,
2019-03-18,B,X,ios,1480,22465,,,0.7837,11.1923,,
2019-03-18,B,Z,ios,4439,58689,,,2.0474,31.1398,,
2019-03-25,A,Y,ios,5234,58596,,,0.78,7.1621,,
2019-03-25,A,X,ios,2209,21238,,,0.2827,4.5431,,
2019-03-25,B,Y,ios,1816,23351,,,0.8146,5.6656,,
